key,en
skill.summon_forest_keeper.tooltip,"The Forest Keeper will enhance logs increasing their {wood_icon} value by {percent_increase}%

- The Forest Keeper will also increase the speed of {cosmic_dust_icon} creation by {exp_percent_increase}%"
skill.summon_gorgon,Summon Gorgon
skill.summon_gorgon.tooltip,"Deals {base_damage} base damage to the wall.

- Base damage increases by {damage_increase} for each Ouroboros you have."
skill.summon_ifrit,Summon Ifrit
skill.summon_ifrit.tooltip,"Deals {base_damage} base damage to the wall.

- Base damage increases by {additional_damage} every 10 Dragon's Fireball ability levels."
skill.summon_rune_smith,Summon Rune Smith
skill.summon_rune_smith.tooltip,"Summon a Rune Smith to create {blank_rune_icon}

- {press_and_hold} the Obelisk/Anvil to speed them up by {speed_up_increase}%"
skill.summon_shaman,Summon Shaman
skill.summon_shaman.tooltip,Deals {base_damage} base damage to the wall multiplied by the count of the Totem Type with most Totems.
skill.summon_smith_master,Summon Smith Master
skill.summon_smith_master.tooltip,"The Smith Master will help forge {blank_rune_icon} with strikes equal to all Rune Smiths combined.

- The Smith Master will also increase {magic_gold_icon} production speed by {alchemy_percent_increase}%"
skill.summon_spirit,Summon Spirit
skill.summon_spirit_sage,Summon Spirit Sage
skill.summon_spirit_sage.tooltip,"Summon a Spirit Sage to research various subjects

- {press_and_hold} the Academy to speed them up by {speed_up_increase}%"
skill.summon_spirit_tome,Summon Spirit Tome
skill.summon_spirit_tome.tooltip,"Summon a Spirit Tome that creates {knowledge_icon}

- {press_and_hold} the study room to speed them up by {speed_up_increase}%"
skill.summon_spirit.tooltip,"Summon {spirit_icon} that can be used to summon other beings

- Hold the button or press shift to buy multiple"
skill.summon_tome_master,Summon Tome Master
skill.summon_tome_master.tooltip,"The Tome Master will absorb all created {knowledge_icon} and amplify it by {percent_increase}%

- If you have no new prestige points, the Tome Master will also increase the damage prestige progress bar by {prestige_percent_increase}% every pulse."
skill.summon_zephyr,Summon Zephyr
skill.summon_zephyr.tooltip,"Weakens the wall, increasing damage dealt to the wall.

- Applies {base_stacks} stacks of weakness to the wall plus {additional_stacks} stack for every Spirit Type with a population at least {summon_threshold}."
skill.text_enchantment,Text Enchantment
skill.text_enchantment.tooltip,Increase {knowledge_icon} gain by {percent_increase}%
skill.unlock_alchemy_101,Alchemy Research
skill.unlock_alchemy_101.tooltip,{training} helps Alchemists create {magic_gold_icon} faster
skill.unlock_dragon_bond,Unlock Dragon Research
skill.unlock_dragon_bond.tooltip,{training} helps Dragon Keepers provide more EXP to the Dragon
skill.unlock_herbology,Unlock Forest Research
skill.unlock_herbology.tooltip,{training} helps Druids grow more {wood_icon}
skill.unlock_magic_101,Unlock Magic Research
skill.unlock_magic_101.tooltip,{training} helps Spirits produce more {magic_icon}
skill.upgrade_dragon_queen,Upgrade Dragon Queen
skill.upgrade_dragon_queen.tooltip,Increase the Dragon EXP the Dragon Queen provides by a compounding {percent_increase}%
skill.upgrade_forest_keeper,Upgrade Forest Keeper
skill.upgrade_forest_keeper.tooltip,"Increase {wood_icon} gain by a compounding {percent_increase}%

- Also increases {cosmic_dust_icon} creation speed by a compounding {exp_percent_increase}%"
skill.upgrade_smith_master,Upgrade Smith Master
skill.upgrade_smith_master.tooltip,"Increase the Smith's hammer power by a compounding {percent_increase}%

- Also increases {magic_gold_icon} production speed by compounding {alchemy_percent_increase}%"
skill.upgrade_tome_master,Upgrade Tome Master
skill.upgrade_tome_master.tooltip,Increase the amplification of {knowledge_icon} absorbed by the Tome Master by a compounding {percent_increase}%
skill.wizard_magic,Wizard Magic
skill.wizard_magic.tooltip,Increases {magic_icon} gained by pressing The Orb by {percent_increase}%
status_effect.cursed.name,Cursed
status_effect.cursed.description,"When 100 stacks are reached, deals damage to the wall equal to {mult} times the damage of all Shamans combined."
status_effect.frost.name,Frost
status_effect.frost.description,Reduces the decay of all other status effects on the wall by {reduction} per stack
status_effect.molten.name,Molten
status_effect.molten.description,"For every stack, the Wall takes {percent_increase}% more damage from Dragon Fireballs"
status_effect.resonance.name,Shatter
status_effect.resonance.description,"For every stack, the Wall takes {percent_increase}% more damage from Dragon Fireballs and Curses"
status_effect.weakened.name,Weakened
status_effect.weakened.description,"For every stack, the Wall takes {percent_increase}% more damage"
tooltip.blessing_locked,"Blessings below are locked until you have {points} total points

- You currently have {total_points} total points"
tooltip.damage_chart_button,Toggle Damage Chart
tooltip.knowledge,Knowledge
tooltip.magic,Magic
tooltip.milestone_blessings,Milestone Blessings are automatically unlocked when you reach a certain number of prestige points
training.alchemy_101,Alchemy Research
training.alchemy_101.tooltip,Increases {magic_gold_icon} production speed by {percent_increase}%
training.dragon_bond,Dragon Research
training.dragon_bond.tooltip,Increase Dragon EXP gain by {percent_increase}%
training.herbology,Forestry Research
training.herbology.tooltip,Increase {wood_icon} gain by {percent_increase}%
training.magic_101,Magic Research
training.magic_101.tooltip,Increase {magic_icon} provided by Cloudlings by {percent_increase}%
tree.academy_exp_rune.name,Academy Boost
tree.academy_exp_rune.description,Increases the Academy EXP gain by {percent_increase}%
tree.alchemy.name,Alchemy Boost
tree.alchemy.description,Increases {magic_gold_icon} production speed by {percent_increase}%
tree.alloy.name,Alloy
tree.alloy.description,"The base damage of Ifrits increases by {percent_increase}% for each Gorgon, Shaman, and Zephyr."
tree.arc.name,Arc
tree.arc.description,Increase Gorgon damage by {percent_increase}% for every Zephyr or Cloudling.
tree.charge.name,Charge
tree.charge.description,"Every time Lightning deals damage, the base damage of Lightning is permanently increased by {damage_increase}."
tree.class_of_destruction.name,Sages of Destruction
tree.class_of_destruction.description,Spirit Sages deal {base_damage} damage to the wall.
tree.cloud.name,Magic Boost
tree.cloud.description,Increases {magic_icon} gain by {percent_increase}%
tree.create_gorgons.name,Summon Gorgons
tree.create_gorgons.description,Summon {amount} Gorgons
tree.create_ifrits.name,Summon Ifrits
tree.create_ifrits.description,Summon {amount} Ifrits
tree.create_shamans.name,Summon Shamans
tree.create_shamans.description,Summon {amount} Shamans
tree.curse_resonance.name,Curse Aura
tree.curse_resonance.description,"When a curse appears on the wall, all Gorgons will gain an aura, increasing their next damage by {percent_increase}%

- Can stack multiple times."
tree.cursed_fire.name,Cursed Fire
tree.cursed_fire.description,The Molten effects on the wall will apply to Curses at {percent_of}% of the effect.
tree.cursed_shards.name,Cursed Shards
tree.cursed_shards.description,The base damage of Curses is added to Shrapnel base damage
tree.diversity.name,Diversity
tree.diversity.description,Spirit Sage base damage increases by {damage_increase}% per stack of any status effect other than Weakened.
tree.dragon_wands.name,Dragon Wands
tree.dragon_wands.description,{percent_of}% of dragon fireball base damage is added to Spirit Sage base damage.
tree.dragon.name,Dragon Keeper Boost
tree.dragon.description,Increases Dragon EXP gain by {percent_increase}%
tree.fire_arrows.name,Fire Arrows
tree.fire_arrows.description,"Shamans can now shoot fire arrows, dealing {damage}x of Shaman arrow damage to the wall."
tree.fire_damage.name,Molten Arrows
tree.fire_damage.description,The Molten effects on the wall will apply to Fire arrows at {percent_of}% of the effect.
tree.fireball_shrapnel.name,Fireball Shrapnel
tree.fireball_shrapnel.description,"Fireballs explode into {amount} Shrapnel, which each deal {base_damage} damage to the wall.

- Does not count as Fireball damage."
tree.fusion.name,Fusion
tree.fusion.description,Fireball base damage increases by {percent_increase}% for each base damage Ifrits have.
tree.hot_blooded.name,Hot Blooded
tree.hot_blooded.description,The Molten effects on the wall will apply to Ifrit fireballs.
tree.hot_runes.name,Hot Runes
tree.hot_runes.description,Shrapnel base damage increases by {percent_increase}% for each rune unlocked.
tree.ice_arrow_damage.name,Ice Arrow Damage
tree.ice_arrow_damage.description,Ice arrows deal damage equal to the base damage of {mult} Gorgons.
tree.ice_arrows.name,Ice Arrows
tree.ice_arrows.description,"Shamans can now shoot ice arrows, which will apply {stacks} Frost to the wall, reducing the decay of status effects on the wall."
tree.infinity_resonance.name,Infinity Resonance
tree.infinity_resonance.description,Gorgons gain {percent_increase}% damage for each Infinity Rune you have.
tree.infinity.name,Infinity
tree.infinity.description,Unlocks an upgrade to increase all types of damage in exchange for {blank_rune_icon}.
tree.instructions.name,Instructions
tree.instructions.description,Spend {image} Blank Runes to unlock upgrades.
tree.relics.name,Relics
tree.relics.description,Gorgon base damage will also increase by {damage_increase} for each Holy Grail or Philosopher's Stone you have.
tree.shrapnel_count.name,Shrapnel Count
tree.shrapnel_count.description,Increase the number of Shrapnel from Fireballs by {amount}.
tree.shrapnel_molten.name,Molten Shrapnel
tree.shrapnel_molten.description,Each Shrapnel now applies {stacks} Molten to the wall.
tree.shrapnel_weakness.name,Shrapnel Weakness
tree.shrapnel_weakness.description,Each Shrapnel now applies {stacks} Weakness to the wall.
tree.sound_pulse.name,Sound Pulse
tree.sound_pulse.description,"Gorgons can now emit Sound Pulses, which will apply Shatter to the wall. For every stack of Shatter, the Wall takes {percent_increase}% more damage from Dragon Fireballs and Curses"
tree.strike_twice.name,Strike Twice
tree.strike_twice.description,Lightning has a {chance}% chance to strike the wall twice.
tree.wisps.name,Wisps
tree.wisps.description,"Gorgons can now emit Wisps, which will apply Cursed to the wall."
tree.wood.name,Druid Boost
tree.wood.description,Increases {wood_icon} gain by {percent_increase}%
tree.zephyr_damage.name,Lightning
tree.zephyr_damage.description,"Zephyrs occasionally summon Lightning, which deals {damage_increase} damage to the wall."
blessing.spoiler,Hidden until the blessings above are unlocked
button.view_tower_requirements,Jump to Requirements
label.needs_trade_agreements,- Need {amount} {trade_agreement_icon}
